Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Month,Dates
79 F,68 F,69 %,ENE,6 mph,0 mph,29.95 in,0.0 in,Fair,02,2020-02-20
79 F,68 F,69 %,ENE,6 mph,0 mph,29.95 in,0.0 in,Fair,02,2020-02-20
79 F,68 F,69 %,ENE,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-20
79 F,68 F,69 %,ENE,8 mph,0 mph,29.92 in,0.0 in,Fair,02,2020-02-20
81 F,68 F,65 %,ENE,9 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-20
81 F,68 F,65 %,E,12 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-20
81 F,68 F,65 %,E,12 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-20
81 F,68 F,65 %,E,12 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-20
82 F,68 F,62 %,E,12 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-20
82 F,66 F,58 %,E,12 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-20
84 F,66 F,55 %,E,12 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-20
84 F,66 F,55 %,E,12 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-20
86 F,66 F,51 %,E,12 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-20
86 F,66 F,51 %,E,12 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-20
86 F,64 F,48 %,E,9 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-20
86 F,64 F,48 %,E,9 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-20
86 F,64 F,48 %,E,9 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-20
77 F,64 F,65 %,ENE,7 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-20
88 F,70 F,55 %,E,16 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-21
81 F,73 F,79 %,ENE,10 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-21
84 F,70 F,62 %,NE,9 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-21
82 F,68 F,62 %,NNE,7 mph,0 mph,29.97 in,0.0 in,Haze,02,2020-02-21
82 F,70 F,66 %,NNE,6 mph,0 mph,29.97 in,0.0 in,Haze,02,2020-02-21
79 F,68 F,69 %,NNW,2 mph,0 mph,29.97 in,0.0 in,Haze,02,2020-02-21
77 F,68 F,74 %,NW,2 mph,0 mph,29.97 in,0.0 in,Fog,02,2020-02-21
73 F,68 F,83 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fog,02,2020-02-21
72 F,66 F,83 %,W,3 mph,0 mph,29.95 in,0.0 in,Fog,02,2020-02-21
72 F,66 F,83 %,W,3 mph,0 mph,29.92 in,0.0 in,Fog,02,2020-02-21
72 F,66 F,83 %,W,3 mph,0 mph,29.92 in,0.0 in,Fog,02,2020-02-21
84 F,70 F,62 %,NE,5 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-21
72 F,66 F,83 %,VAR,2 mph,0 mph,29.89 in,0.0 in,Fog,02,2020-02-21
73 F,66 F,78 %,VAR,2 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-21
73 F,66 F,78 %,W,3 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-21
73 F,66 F,78 %,VAR,2 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-21
73 F,66 F,78 %,VAR,2 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-21
73 F,66 F,78 %,CALM,0 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-21
73 F,66 F,78 %,CALM,0 mph,0 mph,29.92 in,0.0 in,Fair,02,2020-02-21
73 F,68 F,83 %,VAR,2 mph,0 mph,29.92 in,0.0 in,Fair,02,2020-02-21
75 F,66 F,73 %,VAR,2 mph,0 mph,29.92 in,0.0 in,Fair,02,2020-02-21
77 F,70 F,78 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fair,02,2020-02-21
73 F,66 F,78 %,VAR,2 mph,0 mph,29.89 in,0.0 in,Fog,02,2020-02-21
81 F,73 F,79 %,NE,10 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-21
86 F,70 F,58 %,NE,12 mph,0 mph,29.97 in,0.0 in,Haze,02,2020-02-21
88 F,68 F,52 %,NE,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-21
81 F,73 F,79 %,ENE,12 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-21
82 F,73 F,74 %,ENE,12 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-21
82 F,73 F,74 %,ENE,9 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-21
82 F,73 F,74 %,NE,12 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-21
81 F,72 F,74 %,NE,9 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-21
81 F,72 F,74 %,NE,9 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-21
81 F,72 F,74 %,NE,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-21
81 F,72 F,74 %,NE,12 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-21
82 F,72 F,70 %,NE,13 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-21
86 F,70 F,58 %,NE,12 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-21
82 F,70 F,66 %,ENE,14 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-21
84 F,70 F,62 %,ENE,14 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-21
84 F,70 F,62 %,NE,14 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-21
84 F,70 F,62 %,NE,14 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-21
86 F,70 F,58 %,ENE,14 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-21
86 F,70 F,58 %,ENE,15 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-21
86 F,70 F,58 %,ENE,9 mph,21 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-21
88 F,70 F,55 %,ENE,15 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-21
88 F,70 F,55 %,ENE,15 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-21
88 F,68 F,52 %,NE,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-21
82 F,70 F,66 %,ENE,14 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-21
77 F,70 F,78 %,CALM,0 mph,0 mph,29.95 in,0.0 in,Fair,02,2020-02-21
88 F,72 F,58 %,ENE,8 mph,20 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,72 F,62 %,ENE,9 mph,21 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,70 F,58 %,NE,8 mph,20 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,70 F,58 %,ENE,8 mph,20 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
88 F,73 F,62 %,ENE,9 mph,21 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
88 F,72 F,58 %,E,16 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,72 F,62 %,NE,9 mph,21 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,72 F,62 %,ENE,9 mph,21 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,72 F,62 %,NE,16 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,72 F,62 %,ENE,16 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
88 F,70 F,55 %,ENE,8 mph,20 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,72 F,62 %,ENE,14 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
84 F,72 F,66 %,E,14 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
82 F,72 F,70 %,E,14 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
82 F,72 F,70 %,ENE,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
82 F,73 F,74 %,ENE,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,ENE,7 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,ENE,7 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,ENE,7 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
82 F,73 F,74 %,ENE,9 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
84 F,72 F,66 %,ENE,14 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,ENE,9 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
86 F,72 F,62 %,ENE,10 mph,22 mph,30.03 in,0.0 in,Haze,02,2020-02-22
84 F,72 F,66 %,NE,14 mph,0 mph,30.03 in,0.0 in,Haze,02,2020-02-22
81 F,73 F,79 %,NE,8 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,NE,8 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,NE,8 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,ENE,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,ENE,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,72 F,78 %,ENE,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,72 F,78 %,ENE,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,72 F,78 %,ENE,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,73 F,83 %,ENE,8 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
84 F,72 F,66 %,ENE,16 mph,0 mph,30.03 in,0.0 in,Haze,02,2020-02-22
79 F,73 F,83 %,NE,6 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,73 F,83 %,NE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,73 F,83 %,VAR,2 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,72 F,78 %,NE,5 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-22
79 F,72 F,78 %,NE,5 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,NE,7 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,72 F,74 %,NE,8 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-22
82 F,72 F,70 %,NE,9 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-22
82 F,72 F,70 %,NE,10 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-22
79 F,73 F,83 %,NE,6 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,NE,7 mph,0 mph,30.00 in,0.0 in,Partly Cloudy,02,2020-02-22
81 F,73 F,79 %,NE,5 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,ENE,5 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,NE,6 mph,0 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
90 F,72 F,55 %,ENE,9 mph,21 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
90 F,72 F,55 %,E,12 mph,23 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
90 F,72 F,55 %,ENE,9 mph,21 mph,29.97 in,0.0 in,Partly Cloudy,02,2020-02-23
90 F,72 F,55 %,E,12 mph,23 mph,29.97 in,0.0 in,Haze,02,2020-02-23
90 F,72 F,55 %,NE,12 mph,23 mph,30.00 in,0.0 in,Haze,02,2020-02-23
88 F,72 F,58 %,ENE,9 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-23
88 F,73 F,62 %,ENE,14 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-23
86 F,73 F,66 %,ENE,12 mph,0 mph,30.00 in,0.0 in,Haze,02,2020-02-23
86 F,73 F,66 %,ENE,9 mph,0 mph,29.97 in,0.0 in,Haze,02,2020-02-23
84 F,72 F,66 %,ENE,8 mph,0 mph,29.97 in,0.0 in,Haze,02,2020-02-23
82 F,72 F,70 %,NE,9 mph,0 mph,29.97 in,0.0 in,Haze,02,2020-02-23
79 F,72 F,78 %,NNE,5 mph,0 mph,29.95 in,0.0 in,Fog,02,2020-02-23
77 F,72 F,83 %,VAR,2 mph,0 mph,29.95 in,0.0 in,Fog,02,2020-02-23
77 F,72 F,83 %,NE,3 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,6 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,6 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
90 F,72 F,55 %,E,9 mph,21 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
90 F,73 F,59 %,E,9 mph,21 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
82 F,73 F,74 %,ENE,8 mph,0 mph,29.92 in,0.0 in,Haze,02,2020-02-23
79 F,72 F,78 %,ENE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,ENE,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,ENE,7 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,ENE,6 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,E,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,E,10 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
81 F,73 F,79 %,ENE,9 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-23
82 F,73 F,74 %,ENE,9 mph,0 mph,29.95 in,0.0 in,Haze,02,2020-02-23
86 F,72 F,62 %,E,9 mph,21 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
79 F,72 F,78 %,NE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-23
82 F,73 F,74 %,E,12 mph,0 mph,29.89 in,0.0 in,Fog,02,2020-02-23
82 F,73 F,74 %,ENE,9 mph,0 mph,29.89 in,0.0 in,Haze,02,2020-02-23
82 F,72 F,70 %,E,14 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
84 F,73 F,70 %,E,12 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
86 F,72 F,62 %,E,17 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
86 F,72 F,62 %,E,17 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
86 F,72 F,62 %,E,9 mph,21 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
86 F,72 F,62 %,E,9 mph,21 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-23
82 F,73 F,74 %,E,12 mph,0 mph,29.89 in,0.0 in,Fog,02,2020-02-23
79 F,73 F,83 %,ENE,5 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-24
77 F,72 F,83 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-24
77 F,72 F,83 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-24
77 F,73 F,89 %,NE,3 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-24
88 F,73 F,62 %,E,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,72 F,58 %,E,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,72 F,58 %,E,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,73 F,62 %,E,9 mph,0 mph,29.92 in,0.0 in,Partly Cloudy,02,2020-02-24
86 F,72 F,62 %,E,10 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-24
84 F,73 F,70 %,ESE,8 mph,0 mph,29.95 in,0.0 in,Partly Cloudy,02,2020-02-24
82 F,75 F,79 %,VAR,2 mph,0 mph,29.92 in,0.0 in,Fog,02,2020-02-24
81 F,75 F,84 %,VAR,2 mph,0 mph,29.92 in,0.0 in,Fog,02,2020-02-24
79 F,75 F,89 %,VAR,2 mph,0 mph,29.92 in,0.0 in,Fog,02,2020-02-24
79 F,75 F,89 %,VAR,2 mph,0 mph,29.89 in,0.0 in,Fog,02,2020-02-24
75 F,72 F,89 %,VAR,2 mph,0 mph,29.86 in,0.0 in,Fog,02,2020-02-24
75 F,72 F,89 %,VAR,2 mph,0 mph,29.86 in,0.0 in,Fog,02,2020-02-24
73 F,72 F,94 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-24
75 F,72 F,89 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-24
75 F,72 F,89 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-24
75 F,72 F,89 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-24
75 F,72 F,89 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-24
75 F,72 F,89 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-24
77 F,72 F,83 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-24
88 F,73 F,62 %,E,9 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-24
79 F,73 F,83 %,ENE,6 mph,0 mph,29.92 in,0.0 in,Fair,02,2020-02-24
90 F,73 F,59 %,E,12 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,72 F,58 %,E,8 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,ENE,3 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,ENE,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,E,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,E,7 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,E,10 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,E,8 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,E,9 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,E,8 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-24
81 F,75 F,84 %,ENE,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-24
82 F,73 F,74 %,ENE,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-24
82 F,73 F,74 %,ENE,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
82 F,73 F,74 %,ENE,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
84 F,73 F,70 %,ENE,10 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
84 F,73 F,70 %,E,8 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
86 F,73 F,66 %,E,12 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
86 F,72 F,62 %,E,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,72 F,58 %,E,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,72 F,58 %,E,10 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,72 F,58 %,E,10 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-24
88 F,72 F,58 %,E,10 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-24
79 F,73 F,83 %,NE,3 mph,0 mph,29.89 in,0.0 in,Fair,02,2020-02-24
90 F,72 F,55 %,ESE,12 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-25
82 F,73 F,74 %,ESE,9 mph,0 mph,29.83 in,0.0 in,Haze,02,2020-02-25
86 F,73 F,66 %,SSE,2 mph,0 mph,29.89 in,0.0 in,Haze,02,2020-02-25
84 F,73 F,70 %,SSE,2 mph,0 mph,29.89 in,0.0 in,Fog,02,2020-02-25
82 F,75 F,79 %,W,2 mph,0 mph,29.89 in,0.0 in,Fog,02,2020-02-25
81 F,75 F,84 %,WSW,5 mph,0 mph,29.86 in,0.0 in,Fog,02,2020-02-25
79 F,75 F,89 %,W,2 mph,0 mph,29.86 in,0.0 in,Fog,02,2020-02-25
77 F,75 F,94 %,CALM,0 mph,0 mph,29.86 in,0.0 in,Fog,02,2020-02-25
75 F,73 F,94 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fog,02,2020-02-25
75 F,75 F,100 %,CALM,0 mph,0 mph,29.83 in,0.0 in,Fog,02,2020-02-25
75 F,75 F,100 %,W,3 mph,0 mph,29.83 in,0.0 in,Fog,02,2020-02-25
86 F,73 F,66 %,SSE,7 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-25
77 F,73 F,89 %,W,5 mph,0 mph,29.80 in,0.0 in,Fog,02,2020-02-25
77 F,73 F,89 %,CALM,0 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-25
79 F,73 F,83 %,CALM,0 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-25
79 F,73 F,83 %,CALM,0 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-25
81 F,73 F,79 %,S,3 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-25
81 F,73 F,79 %,VAR,2 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-25
81 F,73 F,79 %,ESE,6 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-25
81 F,75 F,84 %,SE,3 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-25
79 F,75 F,89 %,E,6 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-25
81 F,75 F,84 %,NE,3 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-25
77 F,73 F,89 %,W,3 mph,0 mph,29.80 in,0.0 in,Fog,02,2020-02-25
82 F,73 F,74 %,ESE,9 mph,0 mph,29.83 in,0.0 in,Haze,02,2020-02-25
88 F,72 F,58 %,ESE,8 mph,0 mph,29.89 in,0.0 in,Partly Cloudy,02,2020-02-25
90 F,70 F,52 %,SSE,10 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-25
82 F,73 F,74 %,E,9 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-25
82 F,73 F,74 %,E,14 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-25
82 F,73 F,74 %,E,14 mph,0 mph,29.86 in,0.0 in,Fair,02,2020-02-25
82 F,73 F,74 %,ESE,12 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-25
82 F,73 F,74 %,ESE,9 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-25
82 F,73 F,74 %,ESE,12 mph,0 mph,29.83 in,0.0 in,Fair,02,2020-02-25
82 F,73 F,74 %,ESE,12 mph,0 mph,29.80 in,0.0 in,Fair,02,2020-02-25
82 F,73 F,74 %,ESE,14 mph,0 mph,29.80 in,0.0 in,Fair,02,2020-02-25
84 F,73 F,70 %,ESE,12 mph,0 mph,29.80 in,0.0 in,Fair,02,2020-02-25
88 F,70 F,55 %,ESE,10 mph,0 mph,29.86 in,0.0 in,Partly Cloudy,02,2020-02-25
84 F,73 F,70 %,ESE,14 mph,0 mph,29.77 in,0.0 in,Fair,02,2020-02-25
86 F,72 F,62 %,ESE,14 mph,0 mph,29.77 in,0.0 in,Fair,02,2020-02-25
88 F,70 F,55 %,ESE,14 mph,0 mph,29.74 in,0.0 in,Fair,02,2020-02-25
88 F,70 F,55 %,ESE,14 mph,0 mph,29.74 in,0.0 in,Partly Cloudy,02,2020-02-25
88 F,70 F,55 %,ESE,14 mph,0 mph,29.74 in,0.0 in,Partly Cloudy,02,2020-02-25
88 F,72 F,58 %,ESE,14 mph,0 mph,29.74 in,0.0 in,Partly Cloudy,02,2020-02-25
90 F,72 F,55 %,ESE,14 mph,0 mph,29.77 in,0.0 in,Partly Cloudy,02,2020-02-25
90 F,72 F,55 %,ESE,14 mph,0 mph,29.77 in,0.0 in,Partly Cloudy,02,2020-02-25
90 F,72 F,55 %,ESE,14 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-25
90 F,70 F,52 %,SE,10 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-25
84 F,73 F,70 %,ESE,14 mph,0 mph,29.77 in,0.0 in,Fair,02,2020-02-25
79 F,75 F,89 %,NE,2 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-25
90 F,70 F,52 %,ESE,14 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-26
81 F,73 F,79 %,ESE,7 mph,0 mph,29.80 in,0.0 in,Haze,02,2020-02-26
90 F,68 F,49 %,E,9 mph,0 mph,29.83 in,0.0 in,Partly Cloudy,02,2020-02-26
90 F,64 F,43 %,ESE,10 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-26
90 F,68 F,49 %,SE,9 mph,0 mph,29.80 in,0.0 in,Partly Cloudy,02,2020-02-26
90 F,70 F,52 %,SE,10 mph,0 mph,29.77 in,0.0 in,Partly Cloudy,02,2020-02-26
